BSSID,f8:5f:2a:5f:5c:a8,SSID,NOKIA Lumia 900_5438,level,-83
BSSID,22:2f:6b:6a:86:50,SSID,cellulaire gsm olivier,level,-73
BSSID,00:27:0d:08:bf:11,SSID,eduroam,level,-89
BSSID,00:27:0d:08:be:81,SSID,eduroam,level,-74
BSSID,30:85:a9:6c:9b:e2,SSID,Ren_2.4G,level,-87
BSSID,00:22:55:75:44:90,SSID,aalto open,level,-90
BSSID,00:22:55:df:64:d0,SSID,aalto open,level,-81
BSSID,00:27:0d:08:be:80,SSID,aalto open,level,-75
BSSID,10:9a:dd:8c:a6:af,SSID,Apple Network 8ca6af,level,-86
BSSID,24:01:c7:77:f9:40,SSID,aalto open,level,-91
BSSID,08:1f:f3:e0:1a:40,SSID,aalto open,level,-84
BSSID,a0:cf:5b:ca:a9:00,SSID,aalto open,level,-89
BSSID,08:1f:f3:e0:1a:41,SSID,eduroam,level,-80
BSSID,00:27:0d:0b:d1:c1,SSID,eduroam,level,-89
BSSID,00:22:55:75:48:a0,SSID,aalto open,level,-80
BSSID,00:22:55:df:64:d1,SSID,eduroam,level,-86
BSSID,a0:cf:5b:ca:b0:31,SSID,eduroam,level,-83
BSSID,00:27:0d:0b:d1:c0,SSID,aalto open,level,-90
BSSID,a0:cf:5b:ca:b0:30,SSID,aalto open,level,-84
BSSID,00:22:55:75:48:a1,SSID,eduroam,level,-83
BSSID,00:27:0d:08:bf:10,SSID,aalto open,level,-87
BSSID,00:22:55:df:65:10,SSID,aalto open,level,-92
BSSID,00:27:0d:2d:dd:c0,SSID,aalto open,level,-68
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-69
BSSID,00:27:0d:2d:d0:71,SSID,eduroam,level,-59
BSSID,00:1d:7e:fc:31:06,SSID,NFC,level,-60
BSSID,00:27:0d:2d:d0:70,SSID,aalto open,level,-53
BSSID,0e:b6:24:9f:49:f2,SSID,Portthru,level,-78
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-85
BSSID,10:6f:3f:f7:37:c8,SSID,Ren_2.4,level,-79
BSSID,a0:cf:5b:ca:a9:01,SSID,eduroam,level,-82
BSSID,22:2f:6b:6a:86:50,SSID,cellulaire gsm olivier,level,-73
BSSID,00:27:0d:08:be:81,SSID,eduroam,level,-75
BSSID,30:85:a9:6c:9b:e2,SSID,Ren_2.4G,level,-87
BSSID,00:22:55:75:44:90,SSID,aalto open,level,-90
BSSID,00:27:0d:08:be:80,SSID,aalto open,level,-74
BSSID,10:9a:dd:8c:a6:af,SSID,Apple Network 8ca6af,level,-82
BSSID,24:01:c7:77:f9:40,SSID,aalto open,level,-91
BSSID,08:1f:f3:e0:1a:40,SSID,aalto open,level,-84
BSSID,a0:cf:5b:ca:a9:00,SSID,aalto open,level,-89
BSSID,08:1f:f3:e0:1a:41,SSID,eduroam,level,-80
BSSID,00:27:0d:0b:d1:c1,SSID,eduroam,level,-89
BSSID,00:22:55:75:48:a0,SSID,aalto open,level,-80
BSSID,00:22:55:df:64:d1,SSID,eduroam,level,-86
BSSID,a0:cf:5b:ca:b0:31,SSID,eduroam,level,-83
BSSID,00:27:0d:0b:d1:c0,SSID,aalto open,level,-90
BSSID,a0:cf:5b:ca:b0:30,SSID,aalto open,level,-84
BSSID,00:22:55:75:48:a1,SSID,eduroam,level,-83
BSSID,00:27:0d:08:bf:10,SSID,aalto open,level,-87
BSSID,00:22:55:df:65:10,SSID,aalto open,level,-89
BSSID,00:22:55:75:44:91,SSID,eduroam,level,-89
BSSID,08:1f:f3:b2:d0:a1,SSID,eduroam,level,-91
BSSID,00:27:0d:2d:dd:c0,SSID,aalto open,level,-78
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-72
BSSID,00:27:0d:2d:d0:71,SSID,eduroam,level,-58
BSSID,00:1d:7e:fc:31:06,SSID,NFC,level,-67
BSSID,00:27:0d:2d:d0:70,SSID,aalto open,level,-67
BSSID,0e:b6:24:9f:49:f2,SSID,Portthru,level,-77
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-87
BSSID,10:6f:3f:f7:37:c8,SSID,Ren_2.4,level,-77
BSSID,a0:cf:5b:ca:a9:01,SSID,eduroam,level,-83
BSSID,22:2f:6b:6a:86:50,SSID,cellulaire gsm olivier,level,-75
BSSID,00:27:0d:08:be:81,SSID,eduroam,level,-82
BSSID,00:22:55:75:44:90,SSID,aalto open,level,-90
BSSID,00:27:0d:08:be:80,SSID,aalto open,level,-73
BSSID,10:9a:dd:8c:a6:af,SSID,Apple Network 8ca6af,level,-85
BSSID,08:1f:f3:e0:1a:40,SSID,aalto open,level,-84
BSSID,a0:cf:5b:ca:a9:00,SSID,aalto open,level,-83
BSSID,00:27:0d:0b:d1:c1,SSID,eduroam,level,-89
BSSID,00:22:55:75:48:a0,SSID,aalto open,level,-80
BSSID,00:22:55:df:64:d1,SSID,eduroam,level,-81
BSSID,a0:cf:5b:ca:b0:31,SSID,eduroam,level,-83
BSSID,00:27:0d:0b:d1:c0,SSID,aalto open,level,-90
BSSID,a0:cf:5b:ca:b0:30,SSID,aalto open,level,-84
BSSID,00:22:55:75:48:a1,SSID,eduroam,level,-83
BSSID,00:27:0d:08:bf:10,SSID,aalto open,level,-89
BSSID,00:22:55:df:65:10,SSID,aalto open,level,-89
BSSID,00:22:55:75:44:91,SSID,eduroam,level,-89
BSSID,08:1f:f3:b2:d0:a1,SSID,eduroam,level,-91
BSSID,00:90:4c:91:00:03,SSID,dd-wrt,level,-85
BSSID,00:27:0d:2d:dd:c0,SSID,aalto open,level,-79
BSSID,00:27:0d:2d:dd:c1,SSID,eduroam,level,-68
BSSID,00:27:0d:2d:d0:71,SSID,eduroam,level,-52
BSSID,00:1d:7e:fc:31:06,SSID,NFC,level,-61
BSSID,00:27:0d:2d:d0:70,SSID,aalto open,level,-62
BSSID,0e:b6:24:9f:49:f2,SSID,Portthru,level,-83
BSSID,00:22:55:df:65:11,SSID,eduroam,level,-94
BSSID,10:6f:3f:f7:37:c8,SSID,Ren_2.4,level,-82
BSSID,a0:cf:5b:ca:a9:01,SSID,eduroam,level,-89
BSSID,22:2f:6b:6a:86:50,SSID,cellulaire gsm olivier,level,-74
BSSID,00:27:0d:08:be:81,SSID,eduroam,level,-83
BSSID,00:27:0d:08:be:80,SSID,aalto open,level,-78
BSSID,10:9a:dd:8c:a6:af,SSID,Apple Network 8ca6af,level,-81
BSSID,08:1f:f3:e0:1a:40,SSID,aalto open,level,-84
BSSID,a0:cf:5b:ca:a9:00,SSID,aalto open,level,-83
BSSID,00:27:0d:0b:d1:c1,SSID,eduroam,level,-89
BSSID,00:22:55:75:48:a0,SSID,aalto open,level,-80
BSSID,00:22:55:df:64:d1,SSID,eduroam,level,-81
BSSID,a0:cf:5b:ca:b0:31,SSID,eduroam,level,-83
BSSID,00:27:0d:08:bf:10,SSID,aalto open,level,-89
BSSID,00:22:55:df:65:10,SSID,aalto open,level,-89
BSSID,00:22:55:75:44:91,SSID,eduroam,level,-93
BSSID,08:1f:f3:b2:d0:a1,SSID,eduroam,level,-90
BSSID,00:90:4c:91:00:03,SSID,dd-wrt,level,-85
BSSID,00:22:55:df:64:d0,SSID,aalto open,level,-90
